Dataset,Model,Feature,Metric,Diff
Pilot,AR,IsNederlands,False Discovery Rate,-21.285140562248976
Pilot,AR,IsWesters,False Discovery Rate,
Pilot,AR,Leeftijd<30,False Discovery Rate,1.547987616099095
Pilot,AR,Leeftijd<40,False Discovery Rate,9.961685823754774
Pilot,AR,Leeftijd<50,False Discovery Rate,43.82239382239382
Pilot,AR,geslacht,False Discovery Rate,22.984855886663425
Pilot,BR,IsNederlands,False Discovery Rate,-15.894736842105258
Pilot,BR,IsWesters,False Discovery Rate,
Pilot,BR,Leeftijd<30,False Discovery Rate,-4.61049284578696
Pilot,BR,Leeftijd<40,False Discovery Rate,3.7135278514588768
Pilot,BR,Leeftijd<50,False Discovery Rate,36.795774647887335
Pilot,BR,geslacht,False Discovery Rate,27.1855302822691
Prepilot,AR,IsFulltimeParent,False Discovery Rate,30.18867924528302
Prepilot,AR,IsNederlands,False Discovery Rate,-43.11286407766992
Prepilot,AR,IsParttimeParent,False Discovery Rate,
Prepilot,AR,IsWesters,False Discovery Rate,-8.045977011494248
Prepilot,AR,Leeftijd<30,False Discovery Rate,28.67924528301884
Prepilot,AR,Leeftijd<40,False Discovery Rate,42.4731182795699
Prepilot,AR,Leeftijd<50,False Discovery Rate,33.89079473985133
Prepilot,AR,geslacht,False Discovery Rate,-19.053084648493545
Prepilot,BR,IsFulltimeParent,False Discovery Rate,22.8049728049728
Prepilot,BR,IsNederlands,False Discovery Rate,-15.833333333333327
Prepilot,BR,IsParttimeParent,False Discovery Rate,
Prepilot,BR,IsWesters,False Discovery Rate,36.349067599067645
Prepilot,BR,Leeftijd<30,False Discovery Rate,-0.8414610824249504
Prepilot,BR,Leeftijd<40,False Discovery Rate,15.781249999999991
Prepilot,BR,Leeftijd<50,False Discovery Rate,8.035714285714274
Prepilot,BR,geslacht,False Discovery Rate,-12.266443234185157
TrainTest,AR,IsFulltimeParent,False Discovery Rate,16.844783715012753
TrainTest,AR,IsNederlands,False Discovery Rate,4.457801152016013
TrainTest,AR,IsParttimeParent,False Discovery Rate,
TrainTest,AR,IsWesters,False Discovery Rate,5.2392120075046895
TrainTest,AR,Leeftijd<30,False Discovery Rate,2.815829528158288
TrainTest,AR,Leeftijd<40,False Discovery Rate,-12.697911972359924
TrainTest,AR,Leeftijd<50,False Discovery Rate,-21.91189584448011
TrainTest,AR,geslacht,False Discovery Rate,32.328601224517264
TrainTest,BR,IsFulltimeParent,False Discovery Rate,19.754996776273387
TrainTest,BR,IsNederlands,False Discovery Rate,9.274711168164268
TrainTest,BR,IsParttimeParent,False Discovery Rate,-100.0
TrainTest,BR,IsWesters,False Discovery Rate,6.394648829431427
TrainTest,BR,Leeftijd<30,False Discovery Rate,-2.532843298373536
TrainTest,BR,Leeftijd<40,False Discovery Rate,-9.3626438167955
TrainTest,BR,Leeftijd<50,False Discovery Rate,-19.20731707317073
TrainTest,BR,geslacht,False Discovery Rate,36.30470406786196
Pilot,AR,IsNederlands,False Positive Rate,-18.607764390896943
Pilot,AR,IsWesters,False Positive Rate,
Pilot,AR,Leeftijd<30,False Positive Rate,-33.33333333333333
Pilot,AR,Leeftijd<40,False Positive Rate,-19.67084639498433
Pilot,AR,Leeftijd<50,False Positive Rate,-1.4639639639639739
Pilot,AR,geslacht,False Positive Rate,10.416666666666687
