Dataset,Model,Feature,FDR_privileged,FDR_unprivileged,FP_privileged,FP_unprivileged,FPR_privileged,FPR_unprivileged,Feature_Value_privileged,Feature_Value_unprivileged,Group_Size_privileged,Group_Size_unprivileged,PRED_P_privileged,PRED_P_unprivileged,FP_amsti_diff,FPR_amsti_diff,FDR_amsti_diff,PRED_P_amsti_diff
Pilot,AR,IsNederlands,56.4625850340136,44.44444444444445,39.15094339622642,27.11864406779661,72.80701754385966,59.25925925925925,1,0,212.0,59.0,69.33962264150944,61.01694915254237,-30.733101899121916,-18.607764390896943,-21.285140562248976,-12.002767208578359
Pilot,AR,IsWesters,54.06976744186046,,37.80487804878049,,72.65625,,1,,246.0,,69.91869918699187,,,,,
Pilot,AR,Leeftijd<30,53.125,53.947368421052644,53.125,34.74576271186441,100.0,66.66666666666667,1,0,32.0,236.0,100.0,64.40677966101694,-34.59621136590229,-33.33333333333333,1.547987616099095,-35.59322033898306
Pilot,AR,Leeftijd<40,51.78571428571429,56.94444444444444,38.15789473684211,34.166666666666664,77.33333333333334,62.121212121212125,1,0,152.0,120.0,73.6842105263158,60.0,-10.459770114942547,-19.67084639498433,9.961685823754774,-18.571428571428577
Pilot,AR,Leeftijd<50,49.664429530201346,71.42857142857143,35.57692307692308,39.0625,70.47619047619048,69.44444444444444,1,0,208.0,64.0,71.63461538461539,54.6875,9.797297297297288,-1.4639639639639739,43.82239382239382,-23.65771812080537
Pilot,AR,geslacht,48.421052631578945,59.55056179775281,31.944444444444443,41.40625,66.66666666666666,73.61111111111111,M,V,144.0,128.0,65.97222222222223,69.53125,29.619565217391308,10.416666666666687,22.984855886663425,5.394736842105253
Pilot,BR,IsNederlands,53.191489361702125,44.73684210526316,35.37735849056604,28.8135593220339,65.78947368421053,62.96296296296296,1,0,212.0,59.0,66.50943396226415,64.40677966101696,-18.55367231638418,-4.29629629629631,-15.894736842105258,-3.161437672797207
Pilot,BR,IsWesters,51.204819277108435,,34.552845528455286,,66.40625,,1,,246.0,,67.47967479674797,,,,,
Pilot,BR,Leeftijd<30,53.125,50.67567567567568,53.125,31.779661016949152,100.0,60.97560975609756,1,0,32.0,236.0,100.0,62.71186440677966,-40.17946161515454,-39.02439024390244,-4.61049284578696,-37.28813559322034
Pilot,BR,Leeftijd<40,50.43478260869565,52.3076923076923,38.15789473684211,28.333333333333332,77.33333333333334,51.515151515151516,1,0,152.0,120.0,75.65789473684211,54.16666666666667,-25.74712643678162,-33.38557993730408,3.7135278514588768,-28.405797101449277
Pilot,BR,Leeftijd<50,47.97297297297297,65.625,34.13461538461539,32.8125,67.61904761904762,58.333333333333336,1,0,208.0,64.0,71.15384615384616,50.0,-3.8732394366197243,-13.732394366197182,36.795774647887335,-29.729729729729737
Pilot,BR,geslacht,45.05494505494506,57.30337078651685,28.47222222222222,39.84375,59.42028985507246,70.83333333333334,M,V,144.0,128.0,63.19444444444444,69.53125,39.9390243902439,19.207317073170753,27.1855302822691,10.027472527472531
Prepilot,AR,IsFulltimeParent,33.33333333333333,43.39622641509433,10.46728971962617,12.432432432432433,21.917808219178088,21.49532710280374,0,1,1070.0,185.0,31.401869158878508,28.648648648648653,18.77413127413127,-1.9275700934579694,30.18867924528302,-8.767696267696264
Prepilot,AR,IsNederlands,41.2,23.437499999999996,11.757990867579908,8.695652173913043,22.198275862068968,21.58273381294964,1,0,876.0,345.0,28.538812785388124,37.10144927536232,-26.044744617982268,-2.772927289236579,-43.11286407766992,30.00347826086959
Prepilot,AR,IsParttimeParent,34.46475195822455,,10.670978172999192,,21.746293245469523,,0,,1237.0,,30.96200485044462,,,,,
Prepilot,AR,IsWesters,35.62499999999999,32.75862068965517,11.165523996082271,9.547738693467336,22.574257425742573,19.387755102040817,1,0,1021.0,199.0,31.341821743388834,29.14572864321608,-14.489112227805695,-14.115646258503395,-8.045977011494248,-7.00690954773869
Prepilot,AR,Leeftijd<30,29.03225806451613,37.35849056603773,9.090909090909092,11.525029103608848,18.94736842105263,23.130841121495326,1,0,396.0,859.0,31.313131313131315,30.849825378346917,26.77532013969731,22.079439252336453,28.67924528301884,-1.4795899207630758
Prepilot,AR,Leeftijd<40,30.566037735849054,43.54838709677419,10.424710424710424,11.297071129707113,22.252747252747255,21.259842519685044,1,0,777.0,478.0,34.105534105534105,25.94142259414226,8.368200836820092,-4.461942257217837,42.4731182795699,-23.93779111076024
Prepilot,AR,Leeftijd<50,32.81733746130031,43.93939393939394,10.6,11.372549019607844,21.946169772256727,21.48148148148148,1,0,1000.0,255.0,32.3,25.88235294117647,7.288198298187207,-2.1174004192872076,33.89079473985133,-19.868876343106894
Prepilot,AR,geslacht,37.78801843317972,30.588235294117645,11.832611832611832,9.285714285714286,23.837209302325583,19.04761904761905,M,V,693.0,560.0,31.313131313131315,30.35714285714286,-21.524390243902427,-20.092915214866423,-19.053084648493545,-3.052995391705062
Prepilot,BR,IsFulltimeParent,35.77981651376147,43.93939393939394,14.57943925233645,15.675675675675677,30.528375733855185,27.10280373831776,0,1,1070.0,185.0,40.74766355140187,35.67567567567568,7.519057519057524,-11.220944164869383,22.8049728049728,-12.447309695016118
Prepilot,BR,IsNederlands,39.603960396039604,33.333333333333336,13.698630136986301,17.681159420289855,25.862068965517242,43.88489208633094,1,0,876.0,345.0,34.58904109589041,53.04347826086956,29.07246376811595,69.68824940047963,-15.833333333333327,53.35342229875162
Prepilot,BR,IsParttimeParent,36.69354838709678,,14.713015359741311,,29.983525535420096,,0,,1237.0,,40.09700889248181,,,,,
Prepilot,BR,IsWesters,34.55497382198952,47.11538461538462,12.928501469147893,24.623115577889447,26.13861386138614,50.0,1,0,1021.0,199.0,37.414299706170425,52.26130653266331,90.45606821988733,91.28787878787877,36.349067599067645,39.682706727354024
Prepilot,BR,Leeftijd<30,37.05882352941177,36.74698795180723,15.909090909090908,14.202561117578579,33.1578947368421,28.504672897196258,1,0,396.0,859.0,42.92929292929293,38.64959254947614,-10.72675868950607,-14.033526183058898,-0.8414610824249504,-9.96918441416146
Prepilot,BR,Leeftijd<40,35.08771929824562,40.625,15.444015444015443,13.598326359832635,32.967032967032964,25.590551181102363,1,0,777.0,478.0,44.01544401544401,33.47280334728033,-11.950836820083685,-22.37532808398949,15.781249999999991,-23.952139763635024
Prepilot,BR,Leeftijd<50,36.36363636363637,39.285714285714285,15.2,12.941176470588237,31.469979296066253,24.444444444444446,1,0,1000.0,255.0,41.8,32.94117647058824,-14.860681114551067,-22.324561403508767,8.035714285714274,-21.193357725865454
Prepilot,BR,geslacht,38.869257950530034,34.10138248847927,15.873015873015872,13.214285714285715,31.976744186046506,27.10622710622711,M,V,693.0,560.0,40.83694083694083,38.75,-16.749999999999986,-15.231435231435208,-12.266443234185157,-5.110424028268542
TrainTest,AR,IsFulltimeParent,30.429732868757252,35.55555555555556,9.20590302178496,6.0037523452157595,21.146085552865213,10.884353741496598,0,1,2846.0,533.0,30.252986647926917,16.885553470919323,-34.78366727296163,-48.5278080697928,16.844783715012753,-44.185499212269
TrainTest,AR,IsNederlands,31.185567010309285,32.57575757575758,8.71130309575234,8.8659793814433,19.20634920634921,18.067226890756306,1,0,2778.0,485.0,27.933765298776095,27.216494845360824,1.7755814944193573,-5.930967428293628,4.457801152016013,-2.567754277819101
TrainTest,AR,IsParttimeParent,31.019978969505786,,8.832335329341317,0.0,19.5364238410596,0.0,0,1,3340.0,22.0,28.473053892215567,0.0,-100.0,-100.0,,-100.0
TrainTest,AR,IsWesters,31.287605294825514,32.926829268292686,8.882815169115135,7.9178885630498534,19.593067068575735,15.606936416184972,1,0,2927.0,341.0,28.390843867441063,24.04692082111437,-10.862846830588767,-20.344597598932857,5.2392120075046895,-15.300436530202447
TrainTest,AR,Leeftijd<30,30.31088082901554,31.16438356164383,10.823311748381128,7.854984894259818,26.174496644295303,16.681943171402384,1,0,1081.0,2317.0,35.70767807585569,25.20500647388865,-27.425310506881505,-36.2664222425909,2.815829528158288,-29.412922284265207
TrainTest,AR,Leeftijd<40,32.159264931087286,28.075709779179807,10.218978102189782,6.626954579300075,23.230088495575224,14.037854889589903,1,0,2055.0,1343.0,31.77615571776156,23.603871928518245,-35.150515902563555,-39.57037704671776,-12.697911972359924,-25.7182897195942
TrainTest,AR,Leeftijd<50,31.71021377672209,24.761904761904763,9.744525547445255,4.094488188976378,21.867321867321866,8.360128617363344,1,0,2740.0,635.0,30.729927007299267,16.53543307086614,-57.98165678728361,-61.7688500307092,-21.91189584448011,-46.19110853423607
TrainTest,AR,geslacht,28.02013422818792,37.07865168539326,8.35,9.734513274336283,19.880952380952376,19.130434782608695,M,V,2000.0,1356.0,29.799999999999997,26.253687315634217,16.580997297440522,-3.7750585784951616,32.328601224517264,-11.90037813545564
TrainTest,BR,IsFulltimeParent,32.86852589641434,39.361702127659576,11.595221363316936,6.928838951310862,26.634382566585955,12.627986348122866,0,1,2846.0,534.0,35.27758257203092,17.60299625468165,-40.24401316536147,-52.58765125659324,19.754996776273387,-50.101466792008
TrainTest,BR,IsNederlands,33.48017621145375,36.58536585365853,10.943124550035996,11.857707509881422,24.126984126984123,24.590163934426226,1,0,2778.0,506.0,32.68538516918646,32.41106719367589,8.357603494903266,1.9197584124245053,9.274711168164268,-0.8392679911545855
TrainTest,BR,IsParttimeParent,33.54661791590494,0.0,10.988023952095809,0.0,24.304635761589406,0.0,0,1,3340.0,33.0,32.75449101796407,39.39393939393939,-100.0,-100.0,-100.0,20.27034513323361
TrainTest,BR,IsWesters,33.71369294605809,35.8695652173913,11.103518961393918,9.67741935483871,24.49133383571967,19.298245614035086,1,0,2927.0,341.0,32.93474547318073,26.979472140762468,-12.843672456575678,-21.203778677462896,6.394648829431427,-18.082038427373714
TrainTest,BR,Leeftijd<30,33.94919168591224,33.089311859443626,13.598519888991675,9.753992231333621,32.88590604026846,20.714940421631532,1,0,1081.0,2317.0,40.05550416281221,29.477772982304707,-28.271662570941196,-37.00967096279392,-2.532843298373536,-26.407684540712733
TrainTest,BR,Leeftijd<40,34.49664429530201,31.26684636118598,12.506082725060827,8.637379002233805,28.429203539823007,18.29652996845426,1,0,2055.0,1343.0,36.25304136253041,27.624720774385708,-30.934576460737468,-35.64177785415311,-9.3626438167955,-23.800266857231364
TrainTest,BR,Leeftijd<50,34.38155136268344,27.77777777777778,11.97080291970803,6.838905775075988,26.86322686322687,14.195583596214512,1,0,2740.0,658.0,34.81751824817518,24.620060790273556,-42.870116391133514,-47.15607447872587,-19.20731707317073,-29.288295004874694
TrainTest,BR,geslacht,29.971181556195965,40.852130325814535,10.4,12.020648967551622,24.761904761904763,23.623188405797098,M,V,2000.0,1356.0,34.7,29.424778761061948,15.583163149534826,-4.598662207357877,36.30470406786196,-15.202366682818603
